date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
30.09.2022,1,2,6,23,0,1,2,0,0,0,13,8,17,500
01.10.2022,0,0,6,17,0,1,3,0,0,0,16,6,18,530
02.10.2022,0,0,8,26,0,1,1,0,0,0,23,6,10,500
03.10.2022,0,1,0,16,0,1,1,0,0,0,3,11,15,320
04.10.2022,1,1,2,27,0,0,2,0,0,0,44,2,12,370
05.10.2022,0,0,7,20,0,4,1,0,1,0,11,4,18,200
06.10.2022,0,0,10,26,0,0,3,0,2,0,14,15,13,330
07.10.2022,0,0,31,29,0,1,0,0,1,0,17,20,8,350
08.10.2022,3,0,4,18,0,1,1,0,1,0,6,12,13,380
09.10.2022,0,0,18,22,1,1,3,0,0,0,14,7,15,440
10.10.2022,1,1,9,16,2,0,5,0,0,0,9,11,18,370
11.10.2022,0,1,10,7,46,0,0,0,0,0,9,17,8,240
12.10.2022,2,0,43,0,21,0,2,0,4,0,1,35,10,270
13.10.2022,0,0,17,11,0,5,2,0,0,0,6,33,9,420
14.10.2022,3,0,10,5,0,0,5,0,2,0,10,17,9,500
15.10.2022,0,0,16,7,0,2,3,0,0,0,3,11,7,400
16.10.2022,0,0,7,14,0,0,0,0,1,0,5,14,8,300
17.10.2022,1,0,10,12,0,0,1,0,1,0,8,17,10,320
18.10.2022,1,0,23,14,2,0,6,0,0,0,11,35,16,530
19.10.2022,1,1,15,16,5,0,0,0,2,0,6,10,14,430
20.10.2022,0,0,9,20,6,1,0,0,1,0,13,25,6,370
21.10.2022,0,0,2,3,0,0,0,0,0,0,6,14,1,100
22.10.2022,0,1,5,8,0,0,1,0,1,0,6,16,15,320
23.10.2022,0,0,14,18,21,2,1,0,0,0,5,20,18,400
24.10.2022,0,0,6,11,0,0,1,0,1,0,6,9,5,470
25.10.2022,1,1,1,26,0,3,2,0,0,0,21,2,10,480
26.10.2022,2,0,12,30,0,0,2,0,0,0,17,7,22,480
27.10.2022,0,0,4,13,1,1,0,0,1,0,3,19,2,320
28.10.2022,0,1,8,14,0,2,0,0,1,0,9,3,10,480
29.10.2022,3,1,10,23,0,1,1,0,1,0,19,5,19,550
30.10.2022,2,1,16,52,1,0,3,0,2,0,13,6,13,950
31.10.2022,0,1,4,32,0,1,0,0,0,0,14,1,8,620
